Code,Long,Lat,MDS1,MDS2,jCartx,jCarty
GSA7_47,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-981.789683732748,-489.611839106622
GSA7_48,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-991.15216492115,-488.997625198158
GSA7_49,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-981.828204312533,-486.990516792926
GSA7_50,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-997.233442765832,-489.330352248567
GSA7_51,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-984.417207199134,-486.902120346892
GSA7_52,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-988.838803176381,-490.152683494183
GSA7_53,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-981.05994767955,-488.80387826519
GSA7_54,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-987.198765821182,-489.56684273811
GSA7_55,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-990.659929745257,-488.10962657811
GSA7_56,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-989.248202373818,-486.500965880918
GSA7_57,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-981.681065280907,-490.292861264887
GSA7_58,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-986.733457504571,-489.389294799733
GSA7_59,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-996.671149499886,-490.126106352302
GSA7_60,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-990.311177940838,-487.119771422761
GSA7_61,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-993.424787102066,-487.898755055982
GSA7_62,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-980.959791454286,-488.468507796097
GSA7_63,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-986.849098957874,-489.608650388139
GSA7_64,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-984.635419280254,-488.211375348958
GSA7_65,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-981.563537763976,-489.849896092283
GSA7_66,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-994.716013956614,-489.165361121985
GSA7_67,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-985.025816813656,-487.249046838599
GSA7_68,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-989.497569049508,-489.825017177629
GSA7_69,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-982.186851043985,-486.657810344118
GSA7_70,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-982.326684645921,-489.177114045563
